IsoWeeks,cold flu,flu,flu symptoms,flue,bronchitis,chest infection,colds,laryngitis,pleurisy,sinusitis,gastric flu,sinuses,tonsilitis,Disease Rate
Iso Week 2,114.99487798797274,1022.9099438984196,112.31224191258896,456.6152698001239,230.7616510213591,202.5430298112172,342.8007183361671,0.0,224.0576648137303,236.8318709482048,0.0,0.0,0.0,18.71670304
Iso Week 3,0.0,545.8465591463325,0.0,566.7686581675478,218.70005806274477,109.35836653195524,109.35836653195524,222.06495348678655,122.7906007933801,121.48190671029178,0.0,0.0,108.9801794751785,12.36698134
Iso Week 4,0.0,691.5365321116221,102.93551592663458,211.53862186292807,422.964507968128,347.95551304615793,107.051166681917,0.0,103.53597320935975,337.38276473232975,109.28103386810298,0.0,208.63285676013808,8.808089349
Iso Week 5,104.0927298617424,1822.4103081501955,0.0,328.81701325071333,206.50918429311727,114.15020690183924,0.0,0.0,0.0,111.1028578857378,0.0,0.0,262.57671100772296,6.575903541
Iso Week 6,0.0,1185.6486280045988,0.0,614.6159001260022,212.79394974063143,109.65601649521818,122.91899310349602,104.62875593695576,206.83387228054693,122.13275439443348,104.04189683211835,0.0,103.6114911846909,6.837619034
Iso Week 7,0.0,838.5007138523242,120.77247744704484,227.1881159075465,0.0,0.0,103.98338486105406,120.44959705652188,316.3852950977228,336.8777419003504,0.0,120.28617980823516,104.58919743781708,4.793483703
Iso Week 8,109.77965095716448,1150.3188176575743,214.17583601563317,840.2364600832109,274.8942111616583,107.23514652452512,113.0493194085004,0.0,0.0,337.0805343127137,111.55735161278014,0.0,107.72467290419031,4.967228121
Iso Week 9,122.18253990809526,824.6434993458504,0.0,248.8306077350932,200.57242108210627,117.66583047993326,200.57242108210627,0.0,117.56797947280228,234.0087124188971,0.0,0.0,232.07645318136116,4.715142711
Iso Week 10,117.86077198450675,945.199981980546,215.22852982346944,326.7307012418643,120.22309914865949,108.46083632290276,318.4248291623028,106.62771145380825,108.77980280079942,103.17812344651634,0.0,228.0587205231166,0.0,4.694916594
Iso Week 11,0.0,210.83175839125192,207.10264096569787,0.0,109.68625577966648,0.0,214.54132417816467,0.0,102.94952784777584,0.0,0.0,0.0,107.45179102456616,5.469561888
Iso Week 12,0.0,0.0,0.0,109.68893661560664,162.3931034230845,0.0,237.2594448042964,0.0,0.0,0.0,0.0,0.0,0.0,6.237517539
Iso Week 13,99.96856191551068,718.8663291572151,217.619792194182,0.0,308.06978229406974,0.0,0.0,119.52027404114304,0.0,186.0867729615288,0.0,119.02536603116724,217.40492364286555,4.308663187
Iso Week 14,0.0,2785.8143220526467,116.64731678839514,105.53389517014617,329.15417350922735,0.0,0.0,0.0,221.0214215751272,202.0881750247981,0.0,0.0,0.0,4.749067482
Iso Week 15,0.0,446.0424706391811,101.02237781566262,101.95424051817976,349.14496762147417,123.1217897657058,225.1968980099686,0.0,341.8881676846469,0.0,0.0,101.59987478354093,226.2082946176665,2.922505101
Iso Week 16,105.96905099936758,771.8391378822126,108.99484732288136,393.4046887417549,436.303586306036,0.0,322.59617125339,109.08548763325788,105.04811644776228,109.6748737513933,0.0,0.0,212.94045261901667,3.111091805
Iso Week 17,249.05363025342407,481.0921732111409,0.0,349.4495006533277,356.42077769603566,115.72474919985096,116.1857465469659,116.46038154399687,0.0,260.16019898601934,116.20800856612664,0.0,343.6078534734359,3.676163224
Iso Week 18,124.01110266051025,334.7258309864489,0.0,351.2770494723963,145.60699727785075,0.0,112.78618788318578,0.0,146.5185604396208,0.0,0.0,0.0,0.0,1.732288648
Iso Week 19,0.0,418.02557423635375,0.0,197.32972245116105,200.05215390367096,0.0,0.0,316.4953261896727,0.0,284.7669509444113,0.0,99.33106409118076,299.68160130056305,1.781248441
Iso Week 20,0.0,370.7712082497258,0.0,146.38259657654908,97.40240965670512,116.31691951893536,96.84967595905236,0.0,456.9797191635203,211.8321472514552,0.0,96.84967598777348,97.73193952235916,3.156884534
Iso Week 21,0.0,196.22363722055465,0.0,100.13521763137184,109.860064441749,0.0,99.28850044517,0.0,195.3893076712904,109.860064441749,0.0,0.0,0.0,2.817595886
Iso Week 22,184.40162626650243,588.8835371969589,0.0,502.0167067646248,96.32712684817685,98.84465199249765,0.0,0.0,99.46346252481295,107.71000859996856,0.0,0.0,0.0,2.367362729
Iso Week 23,0.0,0.0,0.0,391.52276980671104,301.97991042057856,0.0,0.0,0.0,94.41195790929277,108.70854178667308,0.0,0.0,93.27531498958017,2.291913366
Iso Week 24,0.0,291.7555743726358,0.0,100.58190749414968,201.13599220846115,194.79583012228417,0.0,0.0,0.0,196.7689380844562,0.0,99.74685634031157,109.7264966979761,2.191497681
Iso Week 25,0.0,477.4388824703883,0.0,0.0,292.2523734186466,101.01511018864248,226.6091929174434,0.0,0.0,209.89539045566943,95.56817545950436,0.0,95.92625780038614,2.076014421
