IsoWeeks,a flu,chest infection symptoms,cold flu,flu,flu nhs,flu pregnancy,flu stomach,flu symptoms,flue,man flu,symptoms of flu,what is flu,bronchitis symptoms,cold and flu,bronchitis,chest infection,colds,cough medicine,laryngitis,lemsip,pleurisy,sinusitis,fever flu,sinusitis symptoms,gastric flu,sinuses,tonsilitis,catarrh,coughing blood,coughing up,coughs,night nurse,Disease Rate
Iso Week 2,115.8573885502306,0.0,114.99487798797274,1022.9099438984196,0.0,112.31224191258896,0.0,112.31224191258896,456.6152698001239,0.0,0.0,0.0,0.0,0.0,230.7616510213591,202.5430298112172,342.8007183361671,0.0,0.0,0.0,224.0576648137303,236.8318709482048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.74059151337458,0.0,18.71670304
Iso Week 3,0.0,0.0,0.0,545.8465591463325,0.0,0.0,0.0,0.0,566.7686581675478,0.0,0.0,0.0,108.3915868255886,0.0,218.70005806274477,109.35836653195524,109.35836653195524,110.30847123715614,222.06495348678655,0.0,122.7906007933801,121.48190671029178,0.0,0.0,0.0,0.0,108.9801794751785,0.0,0.0,0.0,0.0,0.0,12.36698134
Iso Week 4,0.0,0.0,0.0,691.5365321116221,0.0,0.0,0.0,102.93551592663458,211.53862186292807,0.0,0.0,0.0,0.0,0.0,422.964507968128,347.95551304615793,107.051166681917,107.051166681917,0.0,0.0,103.53597320935975,337.38276473232975,0.0,0.0,109.28103386810298,0.0,208.63285676013808,0.0,0.0,0.0,108.53841795638904,107.9970792055344,8.808089349
Iso Week 5,0.0,0.0,104.0927298617424,1822.4103081501955,0.0,0.0,0.0,0.0,328.81701325071333,0.0,0.0,0.0,0.0,0.0,206.50918429311727,114.15020690183924,0.0,0.0,0.0,0.0,0.0,111.1028578857378,0.0,0.0,0.0,0.0,262.57671100772296,103.90123047505928,319.7896851779723,113.34461374693876,0.0,0.0,6.575903541
Iso Week 6,0.0,0.0,0.0,1185.6486280045988,0.0,0.0,0.0,0.0,614.6159001260022,0.0,0.0,0.0,109.65601649521818,0.0,212.79394974063143,109.65601649521818,122.91899310349602,0.0,104.62875593695576,0.0,206.83387228054693,122.13275439443348,0.0,0.0,104.04189683211835,0.0,103.6114911846909,0.0,0.0,0.0,0.0,0.0,6.837619034
Iso Week 7,0.0,0.0,0.0,838.5007138523242,0.0,0.0,0.0,120.77247744704484,227.1881159075465,0.0,0.0,111.76970594247716,0.0,0.0,0.0,0.0,103.98338486105406,0.0,120.44959705652188,105.7011303867082,316.3852950977228,336.8777419003504,0.0,0.0,0.0,120.28617980823516,104.58919743781708,0.0,0.0,0.0,104.58919743781708,0.0,4.793483703
Iso Week 8,0.0,0.0,109.77965095716448,1150.3188176575743,0.0,0.0,0.0,214.17583601563317,840.2364600832109,0.0,0.0,0.0,111.8358968566264,0.0,274.8942111616583,107.23514652452512,113.0493194085004,0.0,0.0,111.74289402737524,0.0,337.0805343127137,0.0,0.0,111.55735161278014,0.0,107.72467290419031,122.11422397864494,0.0,0.0,0.0,0.0,4.967228121
Iso Week 9,0.0,0.0,122.18253990809526,824.6434993458504,0.0,0.0,0.0,0.0,248.8306077350932,0.0,0.0,0.0,0.0,0.0,200.57242108210627,117.66583047993326,200.57242108210627,0.0,0.0,117.56797947280228,117.56797947280228,234.0087124188971,0.0,0.0,0.0,0.0,232.07645318136116,0.0,112.99832272843476,112.99832272843476,0.0,0.0,4.715142711
Iso Week 10,0.0,0.0,117.86077198450675,945.199981980546,0.0,0.0,210.5490039773117,215.22852982346944,326.7307012418643,0.0,109.23399819797946,109.60825104929827,0.0,0.0,120.22309914865949,108.46083632290276,318.4248291623028,0.0,106.62771145380825,0.0,108.77980280079942,103.17812344651634,0.0,0.0,0.0,228.0587205231166,0.0,108.4157194699957,0.0,0.0,120.17308950403373,0.0,4.694916594
Iso Week 11,0.0,0.0,0.0,210.83175839125192,0.0,0.0,0.0,207.10264096569787,0.0,0.0,103.03506956389026,0.0,0.0,0.0,109.68625577966648,0.0,214.54132417816467,0.0,0.0,0.0,102.94952784777584,0.0,0.0,0.0,0.0,0.0,107.45179102456616,102.15800892547762,0.0,0.0,0.0,0.0,5.469561888
