IsoWeeks,flu,flue,bronchitis,chest infection,colds,pleurisy,sinusitis,tonsilitis,Disease Rate
Iso Week 2,1022.9099438984196,456.6152698001239,230.7616510213591,202.5430298112172,342.8007183361671,224.0576648137303,236.8318709482048,0.0,18.71670304
Iso Week 3,545.8465591463325,566.7686581675478,218.70005806274477,109.35836653195524,109.35836653195524,122.7906007933801,121.48190671029178,108.9801794751785,12.36698134
Iso Week 4,691.5365321116221,211.53862186292807,422.964507968128,347.95551304615793,107.051166681917,103.53597320935975,337.38276473232975,208.63285676013808,8.808089349
Iso Week 5,1822.4103081501955,328.81701325071333,206.50918429311727,114.15020690183924,0.0,0.0,111.1028578857378,262.57671100772296,6.575903541
Iso Week 6,1185.6486280045988,614.6159001260022,212.79394974063143,109.65601649521818,122.91899310349602,206.83387228054693,122.13275439443348,103.6114911846909,6.837619034
Iso Week 7,838.5007138523242,227.1881159075465,0.0,0.0,103.98338486105406,316.3852950977228,336.8777419003504,104.58919743781708,4.793483703
Iso Week 8,1150.3188176575743,840.2364600832109,274.8942111616583,107.23514652452512,113.0493194085004,0.0,337.0805343127137,107.72467290419031,4.967228121
Iso Week 9,824.6434993458504,248.8306077350932,200.57242108210627,117.66583047993326,200.57242108210627,117.56797947280228,234.0087124188971,232.07645318136116,4.715142711
Iso Week 10,945.199981980546,326.7307012418643,120.22309914865949,108.46083632290276,318.4248291623028,108.77980280079942,103.17812344651634,0.0,4.694916594
Iso Week 11,210.83175839125192,0.0,109.68625577966648,0.0,214.54132417816467,102.94952784777584,0.0,107.45179102456616,5.469561888
Iso Week 12,0.0,109.68893661560664,162.3931034230845,0.0,237.2594448042964,0.0,0.0,0.0,6.237517539
Iso Week 13,718.8663291572151,0.0,308.06978229406974,0.0,0.0,0.0,186.0867729615288,217.40492364286555,4.308663187
Iso Week 14,2785.8143220526467,105.53389517014617,329.15417350922735,0.0,0.0,221.0214215751272,202.0881750247981,0.0,4.749067482
Iso Week 15,446.0424706391811,101.95424051817976,349.14496762147417,123.1217897657058,225.1968980099686,341.8881676846469,0.0,226.2082946176665,2.922505101
Iso Week 16,771.8391378822126,393.4046887417549,436.303586306036,0.0,322.59617125339,105.04811644776228,109.6748737513933,212.94045261901667,3.111091805
Iso Week 17,481.0921732111409,349.4495006533277,356.42077769603566,115.72474919985096,116.1857465469659,0.0,260.16019898601934,343.6078534734359,3.676163224
Iso Week 18,334.7258309864489,351.2770494723963,145.60699727785075,0.0,112.78618788318578,146.5185604396208,0.0,0.0,1.732288648
Iso Week 19,418.02557423635375,197.32972245116105,200.05215390367096,0.0,0.0,0.0,284.7669509444113,299.68160130056305,1.781248441
Iso Week 20,370.7712082497258,146.38259657654908,97.40240965670512,116.31691951893536,96.84967595905236,456.9797191635203,211.8321472514552,97.73193952235916,3.156884534
Iso Week 21,196.22363722055465,100.13521763137184,109.860064441749,0.0,99.28850044517,195.3893076712904,109.860064441749,0.0,2.817595886
Iso Week 22,588.8835371969589,502.0167067646248,96.32712684817685,98.84465199249765,0.0,99.46346252481295,107.71000859996856,0.0,2.367362729
